layer,train_input,test_input,subset,fold,auroc,n,pos
5,q,q,all,4,0.7548701298701298,244,132
5,q,q,C+,oof,0.7185026907249129,612,378
5,q,q,C+,0,0.6994609164420484,123,70
5,q,q,C+,1,0.7467001885606537,123,86
5,q,q,C+,2,0.7422799422799422,122,77
5,q,q,C+,3,0.7076832499264056,122,79
5,q,q,C+,4,0.7548701298701298,122,66
5,q,q,C-,oof,0.7185026907249129,612,378
5,q,q,C-,0,0.6994609164420484,123,70
5,q,q,C-,1,0.7467001885606537,123,86
5,q,q,C-,2,0.7422799422799422,122,77
5,q,q,C-,3,0.7076832499264056,122,79
5,q,q,C-,4,0.7548701298701298,122,66
5,q,cq,all,oof,0.6160177271288383,1224,756
5,q,cq,all,0,0.7128032345013477,246,140
5,q,cq,all,1,0.7746700188560652,246,172
5,q,cq,all,2,0.6767676767676768,244,154
5,q,cq,all,3,0.6594053576685309,244,158
5,q,cq,all,4,0.6280438311688311,244,132
5,q,cq,C+,oof,0.6165943110387554,612,378
5,q,cq,C+,0,0.7102425876010782,123,70
5,q,cq,C+,1,0.7781269641734758,123,86
5,q,cq,C+,2,0.676190476190476,122,77
5,q,cq,C+,3,0.6691198115984691,122,79
5,q,cq,C+,4,0.6274350649350648,122,66
5,q,cq,C-,oof,0.6152150318816986,612,378
5,q,cq,C-,0,0.7164420485175202,123,70
5,q,cq,C-,1,0.7693274670018856,123,86
5,q,cq,C-,2,0.6773448773448774,122,77
5,q,cq,C-,3,0.6479246393876951,122,79
5,q,cq,C-,4,0.6295995670995671,122,66
5,cq,cq,all,oof,0.7448955365622032,1224,756
5,cq,cq,all,0,0.7859164420485175,246,140
5,cq,cq,all,1,0.744028912633564,246,172
5,cq,cq,all,2,0.7000000000000001,244,154
5,cq,cq,all,3,0.796658816602885,244,158
5,cq,cq,all,4,0.7117153679653679,244,132
5,cq,cq,C+,oof,0.746404829738163,612,378
5,cq,cq,C+,0,0.7859838274932615,123,70
5,cq,cq,C+,1,0.7454431175361409,123,86
5,cq,cq,C+,2,0.6946608946608946,122,77
5,cq,cq,C+,3,0.8001177509567265,122,79
5,cq,cq,C+,4,0.715638528138528,122,66
5,cq,cq,C-,oof,0.74335232668566,612,378
5,cq,cq,C-,0,0.7854447439353099,123,70
5,cq,cq,C-,1,0.7404148334380893,123,86
5,cq,cq,C-,2,0.7070707070707071,122,77
5,cq,cq,C-,3,0.7921695613776861,122,79
